[13:11:09:712] [452076:0006e5ec] [ERROR][com.freerdp.server.shadow] - [shadow_server_read_pem]: Certificate PEM /home/acd407/.config/freerdp/shadow/shadow.crt valid, but some properties failed to be extracted
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: *************************************************
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: This build is using [experimental] build options:
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: * 'WITH_VAAPI=ON'
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: * 'WITH_VAAPI_H264_ENCODING=ON'
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: *
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: [experimental] build options might crash the application
[13:11:17:353] [452076:0006e5ee] [WARN][com.freerdp.core.rdp] - [log_build_warn][0x7f29f4000f40]: *************************************************
[13:11:17:410] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:465] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:527] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:589] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:651] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:713] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:775] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:837] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:899] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:17:961] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:18:023] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
